acd_name,trial_id,registry,title,status,condition,intervention,phase,start_date,completion_date,role,sponsor,url
Dr Peter Anthony Foley,12620000697987,ANZCTR,"Evaluation of HXP124 in the treatment of a fungal nail infection, onychomycosis.",Completed,Toenail Onychomycosis,Treatment: Drugs,Phase 2,2020-10-09,2021-07-24,Principal Investigator,Hexima Ltd,
Dr Peter Anthony Foley,12616000294459,ANZCTR,Safety and efficacy of AKP-11 for atopic dermatitis.,Completed,Atopic Dermatitis,Treatment: Drugs,,2016-03-21,2016-12-15,Principal Investigator,Akaal Pharma PTY LTD,
Dr Rebecca Bronwyn Saunderson,12623000682640,ANZCTR,"The Efficacy and Safety of Deucravacitinib to that of Methotrexate, in Patients with Vulvar Lichen Planus who have Failed Topical Therapy with Potent Corticosteroids: A Randomized Controlled Trial",Recruiting,Vulvar Lichen Planus,Treatment: Drugs,Phase 2,2024-04-19,,Principal Investigator,Dr Rebecca Bronwyn Saunderson,
Dr Rebecca Bronwyn Saunderson,12618001319268,ANZCTR,"Comparing information for consent for orthopaedic procedures given by a video, or by a doctor, to see if this improves patient understanding of a procedure. 
",Recruiting,Arthritis|Bone disease|Cartilage disorders |Hallux valgus|Joint injury|Meniscal tear|Osteoarthritis,Behaviour,Not Applicable,2019-05-06,2021-06-30,Principal Investigator,Consentic,
Dr Rebecca Bronwyn Saunderson,12625000530426,ANZCTR,A randomised controlled trial comparing materials needed for skin punch and shave biopsies,Not yet recruiting,Dermatological diagnosis|Infection rate,Treatment: Devices,Not Applicable,2025-05-26,,Principal Investigator,Dr Rebecca Saunderson - Drummoyne Dermatology,
Dr Rebecca Bronwyn Saunderson,12619000647134,ANZCTR,A randomised controlled trial comparing video-assisted informed medical consent to traditional doctor patient consent for Mohs micrographic surgery.,Completed,Skin cancer,Treatment: Other,Not Applicable,2019-03-11,2019-11-04,Principal Investigator,Dr Rebecca Saunderson,
Dr Stephen Peter Shumack,12615000782538,ANZCTR,"A randomised, double blind, placebo controlled comparative trial of Ceramide Cream and Ceramide Cleanser in the management of moderate eczema in adults ",Completed,Eczema,Lifestyle|Treatment: Other,Not Applicable,2015-09-12,2019-10-03,Principal Investigator,Ego Pharmaceuticals Pty Ltd,
Dr Stephen Peter Shumack,12619001536156,ANZCTR,Assessing the effectiveness of ENDOR combination therapy in atopic dermatitis (eczema) and psoriasis patients ,Not yet recruiting,atopic dermatitis (eczema)|psoriasis,Treatment: Drugs,Phase 4,2020-01-13,,Principal Investigator,GNP Australia,
Prof Greg Julian Randal Goodman,12619001580167,ANZCTR,A Phase 2a Study to Evaluate the Preliminary Efficacy and Safety of CBL-514 Injection on Convexity or Fullness of Abdominal Subcutaneous Fat in Healthy Volunteers,Recruiting,Healthy subjects with undesirable subcutaneous fat thickness in belly,Treatment: Drugs,Phase 2,2020-02-03,,Principal Investigator,Caliway Biopharmaceuticals Australia Pty Ltd,
Prof Greg Julian Randal Goodman,12626000192381,ANZCTR,A study of the effect of relabotulinumtoxinA on moderate to severe forehead wrinkles in adults aged 18 to 65 years. ,Not yet recruiting,Horizontal forehead rhytides,Treatment: Drugs,Phase 4,2026-02-23,2026-05-15,Principal Investigator,The Dermatology Institute of Victoria,
Prof Greg Julian Randal Goodman,12626000378325,ANZCTR,"A Global, Prospective, Non-Interventional Study to Collect Patient and Physician Satisfaction in Routine Clinical Practice During Long Term Treatment of Glabellar Lines and/or Lateral Canthal Lines with Relfydess® (GLORY)",Recruiting,Glabellar Lines|Lateral Canthal Lines,Not applicable,Not Applicable,2025-09-19,,Principal Investigator,Galderma SA,
Prof Greg Julian Randal Goodman,12620001153909,ANZCTR,"A Phase 2 Study to Evaluate the Efficacy, Safety and Tolerability of CBL 514 Injection on Thigh Subcutaneous Fat",Not yet recruiting,Healthy to overweight subjects with undesirable subcutaneous fat thickness in thighs,Treatment: Drugs,Phase 2,2020-12-01,2021-03-31,Principal Investigator,Caliway Biopharmaceuticals Australia Pty Ltd,
Prof Greg Julian Randal Goodman,12612000320853,ANZCTR,A Phase 2 bilateral (split-face) comparison study to assess two formulations of ELAPR (Tropoelastin) compared to Juvederm (Registered trademark) Ultra Plus for the treatment of moderate to severe nasolabial folds,Completed,Skin aging|healthy human volunteers,Treatment: Devices,Phase 1 / Phase 2,2012-01-18,2012-05-12,Principal Investigator,Elastagen Pty Ltd,
