acd_name,correct_openalex_id,note
Dr Josie Yeatman,A5035494788,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Young Jin  Kim,A5100387376,"Smart re-resolution. works=966, h=72, au_nz=True, derm=False, cross_verified=True, score=85"
Dr Kevin Phan,A5017351355,"Smart re-resolution. works=625, h=74, au_nz=True, derm=True, cross_verified=True, score=95"
Dr Keng  Chen,A5050579675,"Smart re-resolution. works=93, h=20, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Peter Anthony Foley,A5000398504,"Smart re-resolution. works=299, h=51, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Edmund Pei Yi Wee,A5047279488,"Smart re-resolution. works=30, h=11, au_nz=True, derm=True, cross_verified=False, score=100"
Dr Kathleen  Wang,A5001214460,"Smart re-resolution. works=15, h=8, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Rashi  Malesu,A5087679293,"Smart re-resolution. works=1, h=0, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Penny Poh Lu Lim,A5110425484,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Nicholas Stewart,A5109152655,"Smart re-resolution. works=27, h=7, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Olivia Jean Milne,A5089361198,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Shikha Chugh,A5054104590,"Smart re-resolution. works=27, h=11, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Fatemeh  Arianejad,A5036395362,"Smart re-resolution. works=2, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Kendall Katie Sharpe,A5013987995,"Smart re-resolution. works=3, h=3, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Maddie Gorji,A5089295636,"Smart re-resolution. works=2, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Douglas  Czarnecki,A5087425422,"Smart re-resolution. works=59, h=20, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Jennifer  Yip,A5004177462,"Smart re-resolution. works=135, h=40, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Judith Mary Cole,A5020967828,"Smart re-resolution. works=22, h=10, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Glenn  Parham,A5066496800,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Piyu Parth Naik,A5024236582,"Smart re-resolution. works=34, h=14, au_nz=False, derm=True, cross_verified=True, score=85"
